"Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2017 - Anni 2017/2065"
"Anno: 2017 - Ripartizione: Italia"
"Maschi"
"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
17;302586;302629;302703;302791;302879;302961;303001;
18;297824;297873;297956;298055;298155;298245;298291;
19;303462;303518;303611;303725;303838;303941;303994;
20;306365;306429;306535;306665;306794;306911;306971;
21;308202;308274;308396;308543;308690;308823;308891;
22;308674;308754;308895;309059;309224;309377;309452;
23;311358;311449;311607;311790;311973;312140;312229;
24;316702;316806;316979;317181;317384;317568;317664;
25;329840;329951;330141;330359;330584;330777;330883;
26;329143;329262;329465;329696;329932;330141;330250;
27;335600;335722;335938;336176;336421;336638;336751;
28;333703;333829;334046;334290;334536;334762;334878;
29;341210;341334;341552;341796;342045;342264;342385;
30;333903;334025;334242;334481;334725;334944;335062;
31;335532;335650;335862;336094;336328;336544;336661;
32;345158;345271;345476;345697;345920;346129;346243;
33;350961;351068;351264;351472;351686;351882;351987;
34;356843;356942;357128;357323;357523;357705;357808;
35;367830;367922;368096;368276;368463;368634;368731;
36;369946;370031;370193;370361;370535;370696;370783;
37;380474;380551;380700;380857;381018;381166;381248;
38;390335;390406;390544;390688;390837;390975;391049;
39;411259;411325;411452;411585;411723;411848;411918;
40;423349;423412;423527;423651;423777;423892;423956;
41;441203;441261;441366;441481;441596;441705;441760;
42;461060;461114;461211;461316;461421;461520;461573;
43;478921;478971;479062;479158;479254;479345;479394;
44;474880;474925;475008;475097;475185;475270;475314;
45;479818;479860;479936;480018;480100;480177;480220;
46;482138;482176;482246;482322;482397;482467;482507;
47;478210;478246;478309;478379;478448;478513;478550;
48;490132;490165;490224;490289;490353;490413;490447;
49;485844;485875;485929;485989;486049;486103;486135;
50;485902;485934;485981;486038;486094;486145;486175;
51;491404;491435;491480;491533;491586;491633;491661;
52;489547;489577;489620;489669;489719;489763;489791;
53;494521;494549;494590;494636;494684;494725;494754;
54;461002;461029;461068;461112;461157;461197;461222;
55;443710;443736;443773;443816;443859;443897;443922;
